BaitID	TFcoord	
1004_D02	7-G5	
1004_D02	1-H9	
1004_D02	3-F7	
1004_D02	9-G8	
1078_G01	3-F2	
1078_G01	1-F6	
1078_G01	2-A1	
1004_D02	9-H1	
1004_D02	6-E11	
1004_D02	8-D2	
1078_G01	9-C3	
1077_E05	1-G7	
1004_D02	3-B12	
1077_E05	10-H1	
1078_G01	4-B6	
1004_D02	8-F6	
1078_G01	10-A9	
1078_G01	8-G12	
1077_E05	1-B8	
1004_D02	6-E12	
1004_D02	3-G4	
1078_G01	3-C6	
1004_D02	1-A9	
1077_E05	3-G7	
1078_G01	8-F6	
1004_D02	10-H10	
1004_D02	2-B3	
1078_G01	9-E6	
1004_D02	6-C10	
1004_D02	2-C11	
1004_D02	11-A8	
1004_D02	1-G3	
1077_E05	5-D11	
1004_D02	9-E6	
1078_G01	5-C5	
1077_E05	5-A10	
1004_D02	5-D7	
1004_D02	3-A1	
1004_D02	7-E8	
1004_D02	6-H3	
1004_D02	9-H4	
1004_D02	11-A1	
1004_D02	9-H11	
1004_D02	9-E1	
1004_D02	8-H7	
1078_G01	6-H3	
1078_G01	3-A1	
1004_D02	9-G7	
1078_G01	4-C10	
1078_G01	9-F6	
1078_G01	3-B12	
1078_G01	9-F11	
1078_G01	6-G6	
1004_D02	6-G6	
1078_G01	9-H11	
1078_G01	9-G9	
1078_G01	10-B4	
1076_E08	2-D12	
1076_E07	2-B6	
1076_E08	6-H3	
1076_E08	1-A8	
1076_E07	3-F4	
1076_E07	2-D9	
1076_E08	5-A8	
1076_E07	2-D1	
1076_E08	2-D2	
1076_E08	3-C6	
1076_E08	10-A6	
1076_E07	6-F8	
1076_E08	1-B10	
1076_E08	2-B10	
1076_E08	6-F5	
1076_E07	2-B3	
1072_F04	7-E8	
1021_C11	10-A5	
1072_F04	1-C4	
1072_F04	2-B3	
1021_C11	10-A3	
1072_F04	10-A12	
1072_F04	5-F12	
1072_F04	1-G3	
1076_E07	5-D5	
1072_F04	9-F6	
1076_E08	8-F6	
1072_F04	6-A4	
1072_F04	5-A8	
1072_F04	10-B2	
1021_C11	3-A1	
1072_F04	10-B4	
1075_H03	3-C3	
1076_E08	6-C10	
1072_F04	9-G9	
1072_F04	10-F3	
1072_F04	2-B7	
1076_E08	10-E3	
1072_F04	2-A10	
1072_F04	9-G2	
1076_E07	8-D2	
1076_E07	8-F6	
1075_H03	3-F1	
1072_F04	2-B9	
1076_E07	9-H11	
1072_F04	1-H9	
1072_F04	6-C10	
1076_E08	9-G2	
1072_F04	1-A9	
1076_E07	5-B11	
1072_F04	9-H4	
1072_F04	8-G4	
1072_F04	9-D3	
1076_E08	7-G5	
1072_F04	2-A11	
1072_F04	3-G6	
1021_C11	6-G6	
1072_F04	8-F6	
1072_F04	1-F6	
1076_E08	1-H7	
1021_C11	8-H5	
1076_E07	5-B9	
1021_C11	11-A1	
1072_F04	3-C9	
1021_C11	2-D3	
1072_F04	9-G8	
1072_F04	10-A7	
1072_F04	8-D1	
1075_H03	6-H3	
1076_E07	6-G6	
1072_F04	9-F11	
1075_H03	9-G2	
1072_F04	3-G4	
1072_F04	9-E8	
1076_E07	3-C9	
1021_C11	8-H1	
1076_E07	5-F12	
1076_E07	8-H7	
1076_E07	1-A9	
1076_E07	7-E8	
1072_F04	9-H11	
1076_E07	3-G4	
1072_F04	3-A1	
1076_E07	3-E11	
1075_H03	7-G5	
1072_F04	6-G6	
1076_E07	11-A1	
1072_F04	8-F8	
1072_F04	8-H4	
1072_F04	10-D9	
1072_F04	8-H7	
1072_F04	3-B12	
1072_F04	2-C11	
1076_E07	5-C5	
1076_E07	10-B4	
1076_E07	6-A9	
1076_E07	5-D1	
1021_C11	2-A10	
1076_E07	6-C10	
1072_F04	5-D5	
1072_F04	11-A1	
1076_E07	8-H4	
1072_F04	6-H3	
1076_E07	2-B9	
1076_E07	9-E1	
1076_E07	1-H9	
1076_E08	4-G7	
1072_F04	9-H1	
1076_E07	3-F7	
1021_C11	3-G4	
1072_F04	9-E6	
1076_E07	3-A1	
1072_F04	11-A8	
1076_E07	1-F6	
1076_E07	5-D7	
1076_E07	3-B12	
1076_E07	9-F11	
1072_F04	9-G7	
1076_E07	1-G3	
1076_E07	6-H3	
1075_H10	7-C5	
1075_H10	10-A9	
1075_H10	10-A12	
1072_H02	2-A11	
1005_G11	6-A2	
1075_H10	1-G4	
1039_H09	6-C9	
1075_H10	9-F10	
1075_C03	11-B1	
1075_H10	4-E5	
1075_H10	10-B12	
1075_H10	1-C4	
1039_H09	2-D12	
1072_H02	7-E8	
1039_H09	10-A8	
1039_H09	3-H4	
1072_H02	7-A11	
1076_C09	7-G5	
1075_H10	2-D9	
1075_H10	2-D12	
1075_H10	9-E11	
1072_H02	5-F12	
1075_H10	7-A12	
1072_H02	9-E1	
1072_H02	8-F8	
1072_H02	10-D9	
1030_F12	7-G5	
1075_H10	7-F4	
1072_H02	9-D10	
1005_G11	10-A12	
1039_H09	8-C9	
1075_H10	11-A8	
1030_F12	6-G6	
1005_G11	8-H10	
1075_H10	8-H6	
1075_H10	10-A7	
1005_G11	2-D12	
1075_H10	2-B7	
1075_C03	11-A1	
1005_G11	3-H4	
1075_C03	8-H4	
1075_C03	7-E8	
1076_C09	1-A9	
1075_H10	8-D2	
1075_H10	4-B5	
1075_H10	4-D11	
1075_C03	10-B2	
1075_H10	11-A1	
1075_H10	6-A3	
1075_H10	3-C10	
1075_H10	10-H10	
1075_H10	8-H7	
1075_C03	1-G4	
1075_H10	5-F12	
1076_C09	2-D3	
1075_H10	6-E7	
1075_C03	7-A11	
1075_H10	9-E1	
1075_C03	1-A9	
1076_C09	11-A1	
1075_C03	2-D1	
1076_C09	3-A1	
1075_C03	8-F6	
1075_H10	1-H9	
1075_H10	9-C3	
1075_H10	6-A4	
1005_G11	5-A5	
1075_H10	3-G5	
1076_C09	5-B4	
1072_H02	1-A9	
1075_H10	11-B6	
1075_C03	7-G5	
1075_H10	1-F5	
1075_H10	1-H1	
1075_H10	1-C11	
1075_C03	8-F12	
1075_H10	2-C11	
1075_H10	9-B10	
1075_H10	3-A1	
1075_H10	11-A6	
1075_H10	8-D1	
1072_H02	5-D5	
1075_H10	10-A10	
1075_H10	3-C9	
1075_H10	3-F4	
1075_H10	8-F6	
1075_H10	10-A6	
1075_H10	6-F5	
1075_H10	10-H5	
1075_H10	2-B3	
1075_H10	6-F8	
1072_H02	1-G3	
1075_H10	5-D7	
1075_C03	3-A1	
1075_H10	3-G4	
1075_H10	11-B1	
1075_C03	8-G12	
1075_H10	9-G8	
1076_C09	1-G4	
1075_H10	6-C10	
1076_C09	10-A3	
1075_H10	3-G6	
1075_C03	10-A9	
1076_C09	10-A5	
1075_H10	5-C5	
1075_H10	9-G2	
1072_H02	9-C3	
1075_H10	3-F7	
1072_H02	11-A1	
1075_H10	8-H4	
1075_H10	3-B12	
1075_H10	4-G9	
1075_H10	8-B2	
1076_C09	11-A8	
1076_C09	8-H1	
1075_H10	7-E11	
1075_H10	7-G5	
1076_C09	9-G7	
1072_H02	6-G6	
1076_C09	2-A10	
1075_C03	5-C5	
1075_H10	9-D3	
1072_H02	8-H7	
1075_H10	6-G6	
1075_H10	3-F3	
1075_H10	3-F2	
1076_C09	2-C11	
1075_H10	9-H11	
1075_H10	10-B4	
1076_C09	8-H5	
1075_H10	9-F11	
1075_H10	1-G3	
1075_H10	3-D8	
1075_H10	6-H3	
1076_C09	3-G4	
1076_C09	2-C5	
1072_H02	9-E6	
1072_H02	9-H11	
1075_H10	9-G7	
1078_C02	8-G12	
1072_E11	7-C2	
1078_C02	6-C12	
1076_H11	4-B5	
1078_C02	1-G12	
1078_C02	11-A1	
1078_C02	6-E12	
1002_G05	5-A3	
1078_C02	5-A10	
1078_C02	1-H9	
1078_C02	3-F7	
1076_H11	2-D9	
1078_C02	8-D12	
1078_C02	1-E12	
1078_C02	5-F12	
1077_H05	10-A6	
1076_H11	1-G3	
1076_H11	7-G5	
1077_H05	8-B2	
1072_E11	5-F12	
1078_C02	1-C11	
1077_H05	9-E1	
1078_C02	7-E8	
1072_E04	2-A10	
1072_E04	6-F5	
1078_C02	1-C4	
1078_C02	5-D7	
1076_H11	2-D3	
1076_H11	10-A10	
1076_H11	1-A12	
1076_H11	7-E11	
JRH_044	9-E11	
1006_A04	1-G10	
1077_H05	7-F7	
1076_H11	5-C5	
1072_E04	7-A9	
1078_C02	6-F8	
1076_H11	3-A8	
1072_E04	8-D1	
1076_H11	2-B9	
JRH_044	5-C7	
1078_C02	10-H10	
1078_C02	6-C10	
JRH_044	9-B10	
1077_H05	2-B6	
1077_H05	10-H10	
JRH_044	3-F7	
1078_C02	6-E11	
1078_C02	6-C9	
JRH_044	6-C12	
1078_C02	3-F2	
1078_C02	9-H11	
1002_G05	8-H4	
1078_C02	8-F6	
JRH_044	8-G4	
1076_H11	8-H5	
JRH_044	10-A10	
JRH_044	4-D5	
1076_H11	8-H1	
1076_H11	8-H7	
1072_E04	7-A11	
1078_C02	3-A1	
1006_A04	9-H11	
JRH_044	9-E8	
1076_H11	9-E1	
JRH_044	9-F11	
JRH_044	3-C9	
1076_H11	1-A9	
JRH_044	1-G8	
JRH_044	1-G8	
1078_C02	10-A6	
1002_G05	9-E6	
1078_C02	3-B12	
JRH_044	6-A3	
1076_H11	3-E11	
1078_C02	4-G7	
1076_H11	9-H1	
JRH_044	1-A9	
1077_H05	6-H3	
JRH_044	9-G1	
1002_G05	6-G8	
JRH_044	3-E11	
1072_E04	8-H7	
JRH_044	2-A11	
JRH_044	11-A1	
1077_H05	1-A8	
JRH_044	10-B3	
JRH_044	5-D7	
1076_H11	9-G7	
1072_E04	7-E11	
1076_H11	7-E8	
1072_E04	9-B10	
1002_G05	6-G6	
1078_C02	8-H4	
1076_H11	6-C10	
1072_E04	8-F6	
1002_G05	5-A2	
JRH_044	5-C11	
1072_E04	10-A10	
1072_E04	10-A9	
1078_C02	1-G3	
1076_H11	3-F2	
JRH_044	11-B1	
1072_E04	8-F12	
JRH_044	9-E7	
JRH_044	2-A10	
JRH_044	9-G2	
JRH_044	9-E1	
JRH_044	7-A11	
1078_C02	3-G4	
1072_E04	7-E8	
1072_E04	8-G12	
1078_C02	9-F11	
1078_C02	9-G2	
JRH_044	1-A12	
1077_H05	9-G2	
1076_H11	3-F7	
1076_H11	5-D5	
1076_H11	9-H3	
JRH_044	1-H9	
1076_H11	8-H4	
1072_E04	3-F7	
JRH_044	9-H1	
1072_E04	8-H3	
1002_G05	3-A1	
JRH_044	3-D2	
JRH_044	1-F6	
1078_C02	2-B3	
1076_H11	11-A1	
JRH_044	8-B10	
1078_C02	10-B4	
1078_C02	6-H3	
JRH_044	9-E6	
1076_H11	3-C9	
1078_C02	7-G5	
JRH_044	1-B12	
1076_H11	3-A1	
JRH_044	7-G5	
JRH_044	6-H3	
1076_H11	11-B1	
JRH_044	11-B4	
1076_H11	2-A10	
JRH_044	7-F1	
1072_E04	9-H1	
1072_E04	7-F1	
JRH_044	5-F12	
JRH_044	3-B12	
1072_E04	9-E1	
1002_G05	6-C10	
1072_E04	1-A9	
JRH_044	7-E3	
1072_E04	5-F12	
JRH_044	6-G6	
JRH_044	2-D9	
JRH_044	10-H5	
JRH_044	11-A2	
1076_H11	11-A2	
JRH_044	8-F8	
JRH_044	8-H7	
JRH_044	9-H3	
JRH_044	3-A1	
1072_E04	3-A1	
1072_E04	11-A1	
JRH_044	5-B4	
1076_H11	1-H9	
1077_H05	9-D2	
1002_G05	7-G5	
1076_H11	3-G4	
1076_H11	5-B4	
JRH_044	8-H4	
JRH_044	7-E8	
1076_H11	3-B12	
1077_H05	5-G2	
1078_C02	6-G6	
JRH_044	3-E2	
JRH_044	5-D5	
1077_H05	7-G5	
1002_G05	3-B12	
1076_H11	3-F3	
1076_H11	5-D7	
JRH_044	2-B1	
1072_E04	1-G3	
1072_E04	7-G5	
1072_E04	2-B9	
1076_H11	1-G4	
1072_E04	9-F11	
1002_G05	6-H3	
JRH_044	3-F3	
1072_E04	8-H4	
JRH_044	1-G4	
1072_E04	3-G4	
1002_G05	9-G2	
1077_H05	3-D7	
1072_E04	5-D5	
1077_H05	1-B10	
1072_E04	5-D7	
1076_H11	10-B4	
1077_H05	1-G10	
1076_H11	6-F8	
1077_H05	8-C10	
1072_E04	6-C10	
1072_E04	3-B12	
1076_H11	6-H3	
1076_H11	10-H5	
1076_H11	9-F11	
1076_H11	9-H11	
1072_E04	9-H11	
1072_E04	6-G6	
1072_E04	10-B4	
1076_H11	9-D3	
JRH_044	3-G4	
1076_H11	6-G6	
1077_H05	8-C11	
1072_E04	6-H3	
JRH_044	6-C10	
