1006_F03	nhr-108
1076_E05	mxl-1
1073_F03	W05H7.4
1024_H03	Y106G6H.4
1005_H10	nhr-176
1002_A04	R13F6.5
1003_B02	flh-3
1072_G04	nhr-153
1076_A02	M163.2
1073_B12	nhr-174
1074_G08	ubxn-1
1076_D01	nhr-5
1078_G07	nhr-155
VV_A08	ceh-43
JRH_025	ceh-48
JRH_060	ceh-27
1076_B11	blmp-1
1078_D05	M04G12.4
1005_G05	hbl-1
1076_F03	Y54E10BR.8
1039_H11	nhr-105
1077_G07	ces-2
1073_B04	nhr-39
1005_H03	Y55F3AM.14
BD1_A01	tbx-2
1006_A01	nhr-228
1072_G05	elt-4
1040_B02	Y39A3CR.6
VV_B06	hlh-2
1072_E05	ZC376.7
1073_D07	dpr-1
1016_B04	lin-28
BD1_A04	T22C8.3
1074_E03	F21D5.9
1076_G05	C27A12.2
1076_C02	pes-1
1060_D08	spr-1
1072_C07	tbx-33
1076_G10	nhr-255
1073_F11	mel-28
1006_A03	F38C2.5
1076_F04	F34D6.2
1072_B04	nhr-149
1076_A03	sma-9
1006_B04	nhr-150
1073_D02	nhr-143
1075_C05	nhr-66
1050_A01	R02D3.7
1004_C05	pie-1
1039_B09	ceh-43
1054_C12	hmg-12
1039_G11	nhr-20
1075_G07	eor-1
BD1_C10	ceh-32
VV_D08	alr-1
1073_A09	lir-1
1075_E05	nhr-60
1078_H01	nhr-272
1078_A07	F26H9.2
1072_C04	ZK1067.2
1009_B06	C17D12.1
1077_F09	Y53C10A.3
1078_A06	klf-2
JRH_102	lim-7
1076_F11	nhr-119
1078_A04	nhr-116
1073_H06	nhr-72
1076_E02	C07E3.5
Y1H_011	daf-12
1077_G02	Y56A3A.18
1076_C04	hlh-12
1006_G05	Y116A8C.19
1076_F08	sem-4
1077_F02	K11D12.12
1075_F12	lim-4
1078_D06	cfi-1
EA_B01	nhr-25
JRH_103	ceh-44
1006_H01	pos-1
BD1_A10	zag-1
1078_D01	nhr-49
JRH_302	mbr-1
1076_G11	tbx-9
JRH_070	F45C12.15
1072_A05	nhr-248
1078_B03	nhr-233
1004_C06	mef-2
1007_B06	ceh-38
1005_A05	ets-5
JRH_367	ttx-1
1072_A09	ztf-2
1040_C03	C06A5.4
1078_G08	hlh-14
1073_C07	H32C10.3
BD1_A07	die-1
1076_E01	C34D1.1
1006_E03	ZK652.6
MW2_H03	mxl-2
1078_G05	T04G9.1
1006_B08	nhr-164
JRH_013	F48B9.5
1075_H02	nhr-40
1077_E10	ZC328.2
1075_G11	nhr-69
1078_D04	nhr-175
JRH_015	vab-15
1078_E03	med-2
JRH_154	ceh-14
JRH_155	ceh-17
1078_B02	hlh-29
1049_A04	rad-26
JRH_111	ceh-31
JRH_120	ceh-20
1013_D02	Y87G2A.3
JRH_024	ceh-18
1078_E08	hlh-31
1006_C01	nhr-205
1077_E03	tbx-35
1039_F09	vab-7
1077_F12	hmg-4
1075_D02	egl-27
1077_E02	nhr-139
1078_F04	R07H5.10
1076_A08	K02D7.2
1075_A12	nhr-30
1076_F09	nhr-124
1073_G08	B0336.7
1078_H06	nhr-36
1074_E10	Y39B6A.46
1076_B04	nhr-96
1004_A03	egl-13
1078_D03	athp-1
1078_F05	tbx-18
1040_D02	ceh-23
VV_A07	ceh-37
1076_A11	nhr-107
1075_E09	tbx-37
1076_B08	F52E4.8
1065_D12	tag-233
BD1_D04	elt-1
1045_E04	Y48C3A.4
1002_G07	sta-1
1005_B09	rnt-1
1044_E05	sdz-12
1078_G02	nhr-117
1076_A01	nhr-97
1005_A07	nhr-71
1072_D07	nhr-278
1072_G06	sdz-38
1073_A07	fos-1
1075_E01	nhr-84
1078_G03	mex-6
1078_C03	lin-22
1075_F03	B0250.4
1078_C05	F23F12.9
1049_D02	dmd-6
1003_E01	sma-3
1073_E02	nhr-223
JRH_152	pal-1
1005_A09	unc-98
1074_F12	nhr-251
1074_E01	let-381
1072_A03	W04D2.4
1060_B09	nhr-13
1072_C01	dpl-1
1005_B05	C10A4.8
1073_G07	ceh-16
1077_H10	nhr-18
BD1_C09	M03D4.4
1078_C08	hlh-10
1046_A06	mml-1
1005_H06	elt-2
1078_H03	tbx-31
1077_H01	nhr-172
JRH_129	irx-1
1072_F10	C16A3.4
1075_B09	F10E7.11
1072_F05	nhr-157
BD1_A12	end-3
VV_A09	che-1
1072_B11	nhr-219
JRH_135	ceh-39
Y1H_226	hnd-1
Y1H_086	R06F6.6
JRH_158	C09G12.1
Y1H_203	nhr-137
JRH_081	vab-3
1006_H07	Y62E10A.17
VV_C02	odr-7
VV_C12	unc-86
EA_D01	nhr-137
1006_C07	nhr-42
JRH_107	ZK1193.5
Y1H_311	T22H9.4
BD1_D12	ceh-5
JRH_123	C02F12.10
1074_B12	ces-1
VV_C11	unc-62
JRH_072	C09G9.7
1073_D05	C50A2.4
1074_E12	crh-1
1078_G01	nhr-201
1075_H04	daf-3
1076_B07	gak-1
EA_A06	C46E10.9
1076_D11	ceh-60
1078_B04	sptf-1
1011_D10	F43G9.12
1078_H02	F28H6.2
1023_H11	C07E3.6
1072_E07	unc-86
1076_H06	nhr-148
VV_D05	lim-6
1006_A07	tbx-39
1076_G03	dmd-5
1078_D02	nhr-254
1004_D02	lag-1
1077_E05	nhr-147
BD1_B06	nhr-28
1076_G02	C05D10.1
1074_C01	nhr-78
JRH_147	tab-1
1005_F03	hlh-10
1076_D12	pax-2
BD1_B04	lin-29
1075_F02	hlh-17
1078_G06	C01B7.1
1078_F08	hlh-27
1072_E06	pqn-47
1074_D12	nhr-225
JRH_010	dsc-1
1006_A02	nhr-271
1039_A12	Y51H4A.4
JRH_089	R03E1.4
1076_A12	ZK337.2
1075_B03	F49E12.6
JRH_097	Y53C12C.1
1077_E11	nhr-206
1078_A02	hlh-28
1057_E12	nhr-277
MW2_H06	mxl-3
1076_A04	nhr-163
1073_C12	tag-185
1016_H05	T22E7.2
VV_D09	nhr-6
VV_A01	ceh-10
1078_A09	hlh-13
BD1_B11	hlh-6
1006_G03	nhr-133
1078_F01	ZK673.4
1077_D07	B0019.2
JRH_159	vab-3
1040_F01	odd-1
1072_H11	W02D7.6
JRH_130	F59H6.6
1076_H10	C09G9.7
1005_A01	egl-18
1072_E12	nhr-94
1073_E08	nhr-215
1077_E12	hlh-16
JRH_156	R13.2
1076_E07	ahr-1
1075_H06	Y56A3A.28
EA_D02	hlh-30
1078_H05	hlh-3
1005_C05	nhr-3
JRH_091	ceh-19
1075_D03	Y116A8C.17
1077_E04	F19F10.5
1005_B01	ztf-6
JRH_075	unc-39
1075_D05	mab-23
JRH_115	egl-5
1077_D11	nhr-101
1006_C06	nhr-231
1075_H03	F10B5.3
1077_H11	W04B5.2
1072_G11	Y22D7AL.16
1006_E02	nhr-127
1073_B07	F47E1.3
1021_C11	mig-5
1027_F04	H16D19.3
1076_E08	nhr-120
1077_D05	Y48E1B.7
1072_F04	mex-1
1005_G08	lsy-2
1040_A01	lin-31
JRH_105	ceh-18
1076_C09	ref-1
1077_C03	ekl-4
1076_C07	nhr-122
1072_H02	Y17G7B.22
1039_H09	xbp-1
1005_A08	nhr-62
1030_F12	T24C4.7
1078_H04	efl-2
1078_E09	flh-1
1005_G11	nhr-207
BD1_C01	ceh-2
1074_E05	nhr-154
1075_C12	nhr-23
JRH_373	sox-2
1075_C03	T20F7.1
1077_E08	klf-1
1018_C10	gei-17
1073_E11	gei-17
JRH_127	ceh-6
1077_A05	nhr-55
1075_F06	nhr-129
1004_H04	hlh-8
1072_H09	F25H8.6
1075_H10	Y39B6A.12
1005_H01	tbx-40
1026_D03	nhr-49
JRH_146	ceh-9
JRH_039	nhr-202
1076_B06	B0261.1
1072_E04	Y48C3A.12
1039_F12	F57B10.1
1076_H11	nhr-79
MW2_F04	daf-19
1077_H05	F17A9.3
JRH_117	ceh-26
JRH_125	lin-39
1072_E11	nurf-1
JRH_114	mls-2
JRH_099	unc-4
1039_E12	ZK177.3
JRH_121	lin-11
1078_C02	tag-347
JRH_044	grh-1
1077_F07	lin-32
1006_A04	tra-4
BD1_A09	ceh-13
1002_G05	T27A8.2
BD1_A08	egl-46
JRH_084	php-3
EA_F05	lin-1
VV_C01	nhr-83
1039_B10	ceh-10
1077_B08	Y66D12A.12
EA_F10	nhr-88
1077_G10	Y105C5B.29
VV_B08	lin-11
1047_E07	ZC416.1
1056_E10	tra-1
1017_C02	F33D11.12
1076_E03	nhr-130
1023_B07	T07F8.4
1077_A12	nhr-134
1005_C01	fax-1
1072_B03	F49E8.2
1077_H08	nhr-145
1005_F01	nhr-65
1049_H11	dnj-11
1029_C09	F54F2.9
VV_D01	tag-97
JRH_009	ceh-34
1075_B02	dmd-4
JRH_109	ceh-33
1055_G03	cey-1
1015_B04	zfp-2
1074_F02	fkh-4
BD1_C05	skn-1
1006_G07	atf-5
1075_B11	pha-4
1077_H04	Y66A7A.5
JRH_371	pax-1
1040_B05	T07D10.3
MW2_H02	cky-1
JRH_088	ZC123.3
1005_G09	nhr-185
1046_F09	ztf-1
BD1_B01	mdl-1
1072_B06	C34B4.2
1072_D04	nhr-202
1074_A09	Y39E4B.2
1039_E07	miz-1
1077_G08	tbx-8
1039_H08	C46F11.3
VV_C07	unc-3
VV_D06	nhr-41
1074_B09	nhr-227
1040_D01	moe-3
1075_E12	Y53G8AR.9
VV_C08	unc-30
1074_D04	ham-1
1076_D08	C01G12.1
1076_H03	ceh-45
1074_A01	zip-4
VV_C10	unc-42
VV_A05	ceh-36
1076_E10	sbp-1
1077_A01	tbx-38
1006_C08	ztf-3
1077_D10	flh-1
JRH_056	K04C1.3
BD1_C02	tlp-1
1040_E02	fkh-6
1072_C09	nhr-270
1072_C10	dmd-3
1073_D09	nhr-87
1078_E06	nhr-239
1006_C05	nhr-170
1073_E12	efl-1
JRH_003	dlx-1
1074_G01	mab-5
1075_A04	F26F4.8
1072_D09	hsf-1
1005_F04	nhr-43
1076_C01	pop-1
1075_C09	skn-1
1077_D12	K09H9.7
1077_F05	gei-11
1072_B02	F47H4.1
1076_B02	ast-1
1006_D06	ZC204.2
