5-A1-1 5-A1-2 6-A1-1 6-A1-2 5-A2-1 5-A2-2 6-A2-1 6-A2-2 5-A3-1 5-A3-2 6-A3-1 6-A3-2 5-A4-1 5-A4-2 6-A4-1 6-A4-2 5-A5-1 5-A5-2 6-A5-1 6-A5-2 5-A6-1 5-A6-2 6-A6-1 6-A6-2 5-A7-1 5-A7-2 6-A7-1 6-A7-2 5-A8-1 5-A8-2 6-A8-1 6-A8-2 5-A9-1 5-A9-2 6-A9-1 6-A9-2 5-A10-1 5-A10-2 6-A10-1 6-A10-2 5-A11-1 5-A11-2 6-A11-1 6-A11-2 5-A12-1 5-A12-2 6-A12-1 6-A12-2 
7-C1-3 7-C1-4 8-C1-3 8-C1-4 7-C2-3 7-C2-4 8-C2-3 8-C2-4 7-C3-3 7-C3-4 8-C3-3 8-C3-4 7-C4-3 7-C4-4 8-C4-3 8-C4-4 7-C5-3 7-C5-4 8-C5-3 8-C5-4 7-C6-3 7-C6-4 8-C6-3 8-C6-4 7-C7-3 7-C7-4 8-C7-3 8-C7-4 7-C8-3 7-C8-4 8-C8-3 8-C8-4 7-C9-3 7-C9-4 8-C9-3 8-C9-4 7-C10-3 7-C10-4 8-C10-3 8-C10-4 7-C11-3 7-C11-4 8-C11-3 8-C11-4 7-C12-3 7-C12-4 8-C12-3 8-C12-4 
5-D1-1 5-D1-2 6-D1-1 6-D1-2 5-D2-1 5-D2-2 6-D2-1 6-D2-2 5-D3-1 5-D3-2 6-D3-1 6-D3-2 5-D4-1 5-D4-2 6-D4-1 6-D4-2 5-D5-1 5-D5-2 6-D5-1 6-D5-2 5-D6-1 5-D6-2 6-D6-1 6-D6-2 5-D7-1 5-D7-2 6-D7-1 6-D7-2 5-D8-1 5-D8-2 6-D8-1 6-D8-2 5-D9-1 5-D9-2 6-D9-1 6-D9-2 5-D10-1 5-D10-2 6-D10-1 6-D10-2 5-D11-1 5-D11-2 6-D11-1 6-D11-2 5-D12-1 5-D12-2 6-D12-1 6-D12-2 
5-D1-3 5-D1-4 6-D1-3 6-D1-4 5-D2-3 5-D2-4 6-D2-3 6-D2-4 5-D3-3 5-D3-4 6-D3-3 6-D3-4 5-D4-3 5-D4-4 6-D4-3 6-D4-4 5-D5-3 5-D5-4 6-D5-3 6-D5-4 5-D6-3 5-D6-4 6-D6-3 6-D6-4 5-D7-3 5-D7-4 6-D7-3 6-D7-4 5-D8-3 5-D8-4 6-D8-3 6-D8-4 5-D9-3 5-D9-4 6-D9-3 6-D9-4 5-D10-3 5-D10-4 6-D10-3 6-D10-4 5-D11-3 5-D11-4 6-D11-3 6-D11-4 5-D12-3 5-D12-4 6-D12-3 6-D12-4 
7-D1-1 7-D1-2 8-D1-1 8-D1-2 7-D2-1 7-D2-2 8-D2-1 8-D2-2 7-D3-1 7-D3-2 8-D3-1 8-D3-2 7-D4-1 7-D4-2 8-D4-1 8-D4-2 7-D5-1 7-D5-2 8-D5-1 8-D5-2 7-D6-1 7-D6-2 8-D6-1 8-D6-2 7-D7-1 7-D7-2 8-D7-1 8-D7-2 7-D8-1 7-D8-2 8-D8-1 8-D8-2 7-D9-1 7-D9-2 8-D9-1 8-D9-2 7-D10-1 7-D10-2 8-D10-1 8-D10-2 7-D11-1 7-D11-2 8-D11-1 8-D11-2 7-D12-1 7-D12-2 8-D12-1 8-D12-2 
7-D1-3 7-D1-4 8-D1-3 8-D1-4 7-D2-3 7-D2-4 8-D2-3 8-D2-4 7-D3-3 7-D3-4 8-D3-3 8-D3-4 7-D4-3 7-D4-4 8-D4-3 8-D4-4 7-D5-3 7-D5-4 8-D5-3 8-D5-4 7-D6-3 7-D6-4 8-D6-3 8-D6-4 7-D7-3 7-D7-4 8-D7-3 8-D7-4 7-D8-3 7-D8-4 8-D8-3 8-D8-4 7-D9-3 7-D9-4 8-D9-3 8-D9-4 7-D10-3 7-D10-4 8-D10-3 8-D10-4 7-D11-3 7-D11-4 8-D11-3 8-D11-4 7-D12-3 7-D12-4 8-D12-3 8-D12-4 
5-E1-1 5-E1-2 6-E1-1 6-E1-2 5-E2-1 5-E2-2 6-E2-1 6-E2-2 5-E3-1 5-E3-2 6-E3-1 6-E3-2 5-E4-1 5-E4-2 6-E4-1 6-E4-2 5-E5-1 5-E5-2 6-E5-1 6-E5-2 5-E6-1 5-E6-2 6-E6-1 6-E6-2 5-E7-1 5-E7-2 6-E7-1 6-E7-2 5-E8-1 5-E8-2 6-E8-1 6-E8-2 5-E9-1 5-E9-2 6-E9-1 6-E9-2 5-E10-1 5-E10-2 6-E10-1 6-E10-2 5-E11-1 5-E11-2 6-E11-1 6-E11-2 5-E12-1 5-E12-2 6-E12-1 6-E12-2 
5-E1-3 5-E1-4 6-E1-3 6-E1-4 5-E2-3 5-E2-4 6-E2-3 6-E2-4 5-E3-3 5-E3-4 6-E3-3 6-E3-4 5-E4-3 5-E4-4 6-E4-3 6-E4-4 5-E5-3 5-E5-4 6-E5-3 6-E5-4 5-E6-3 5-E6-4 6-E6-3 6-E6-4 5-E7-3 5-E7-4 6-E7-3 6-E7-4 5-E8-3 5-E8-4 6-E8-3 6-E8-4 5-E9-3 5-E9-4 6-E9-3 6-E9-4 5-E10-3 5-E10-4 6-E10-3 6-E10-4 5-E11-3 5-E11-4 6-E11-3 6-E11-4 5-E12-3 5-E12-4 6-E12-3 6-E12-4 
7-E1-1 7-E1-2 8-E1-1 8-E1-2 7-E2-1 7-E2-2 8-E2-1 8-E2-2 7-E3-1 7-E3-2 8-E3-1 8-E3-2 7-E4-1 7-E4-2 8-E4-1 8-E4-2 7-E5-1 7-E5-2 8-E5-1 8-E5-2 7-E6-1 7-E6-2 8-E6-1 8-E6-2 7-E7-1 7-E7-2 8-E7-1 8-E7-2 7-E8-1 7-E8-2 8-E8-1 8-E8-2 7-E9-1 7-E9-2 8-E9-1 8-E9-2 7-E10-1 7-E10-2 8-E10-1 8-E10-2 7-E11-1 7-E11-2 8-E11-1 8-E11-2 7-E12-1 7-E12-2 8-E12-1 8-E12-2 
7-E1-3 7-E1-4 8-E1-3 8-E1-4 7-E2-3 7-E2-4 8-E2-3 8-E2-4 7-E3-3 7-E3-4 8-E3-3 8-E3-4 7-E4-3 7-E4-4 8-E4-3 8-E4-4 7-E5-3 7-E5-4 8-E5-3 8-E5-4 7-E6-3 7-E6-4 8-E6-3 8-E6-4 7-E7-3 7-E7-4 8-E7-3 8-E7-4 7-E8-3 7-E8-4 8-E8-3 8-E8-4 7-E9-3 7-E9-4 8-E9-3 8-E9-4 7-E10-3 7-E10-4 8-E10-3 8-E10-4 7-E11-3 7-E11-4 8-E11-3 8-E11-4 7-E12-3 7-E12-4 8-E12-3 8-E12-4 
5-F1-1 5-F1-2 6-F1-1 6-F1-2 5-F2-1 5-F2-2 6-F2-1 6-F2-2 5-F3-1 5-F3-2 6-F3-1 6-F3-2 5-F4-1 5-F4-2 6-F4-1 6-F4-2 5-F5-1 5-F5-2 6-F5-1 6-F5-2 5-F6-1 5-F6-2 6-F6-1 6-F6-2 5-F7-1 5-F7-2 6-F7-1 6-F7-2 5-F8-1 5-F8-2 6-F8-1 6-F8-2 5-F9-1 5-F9-2 6-F9-1 6-F9-2 5-F10-1 5-F10-2 6-F10-1 6-F10-2 5-F11-1 5-F11-2 6-F11-1 6-F11-2 5-F12-1 5-F12-2 6-F12-1 6-F12-2 
5-F1-3 5-F1-4 6-F1-3 6-F1-4 5-F2-3 5-F2-4 6-F2-3 6-F2-4 5-F3-3 5-F3-4 6-F3-3 6-F3-4 5-F4-3 5-F4-4 6-F4-3 6-F4-4 5-F5-3 5-F5-4 6-F5-3 6-F5-4 5-F6-3 5-F6-4 6-F6-3 6-F6-4 5-F7-3 5-F7-4 6-F7-3 6-F7-4 5-F8-3 5-F8-4 6-F8-3 6-F8-4 5-F9-3 5-F9-4 6-F9-3 6-F9-4 5-F10-3 5-F10-4 6-F10-3 6-F10-4 5-F11-3 5-F11-4 6-F11-3 6-F11-4 5-F12-3 5-F12-4 6-F12-3 6-F12-4 
7-F1-1 7-F1-2 8-F1-1 8-F1-2 7-F2-1 7-F2-2 8-F2-1 8-F2-2 7-F3-1 7-F3-2 8-F3-1 8-F3-2 7-F4-1 7-F4-2 8-F4-1 8-F4-2 7-F5-1 7-F5-2 8-F5-1 8-F5-2 7-F6-1 7-F6-2 8-F6-1 8-F6-2 7-F7-1 7-F7-2 8-F7-1 8-F7-2 7-F8-1 7-F8-2 8-F8-1 8-F8-2 7-F9-1 7-F9-2 8-F9-1 8-F9-2 7-F10-1 7-F10-2 8-F10-1 8-F10-2 7-F11-1 7-F11-2 8-F11-1 8-F11-2 7-F12-1 7-F12-2 8-F12-1 8-F12-2 
7-F1-3 7-F1-4 8-F1-3 8-F1-4 7-F2-3 7-F2-4 8-F2-3 8-F2-4 7-F3-3 7-F3-4 8-F3-3 8-F3-4 7-F4-3 7-F4-4 8-F4-3 8-F4-4 7-F5-3 7-F5-4 8-F5-3 8-F5-4 7-F6-3 7-F6-4 8-F6-3 8-F6-4 7-F7-3 7-F7-4 8-F7-3 8-F7-4 7-F8-3 7-F8-4 8-F8-3 8-F8-4 7-F9-3 7-F9-4 8-F9-3 8-F9-4 7-F10-3 7-F10-4 8-F10-3 8-F10-4 7-F11-3 7-F11-4 8-F11-3 8-F11-4 7-F12-3 7-F12-4 8-F12-3 8-F12-4 
5-G1-1 5-G1-2 6-G1-1 6-G1-2 5-G2-1 5-G2-2 6-G2-1 6-G2-2 5-G3-1 5-G3-2 6-G3-1 6-G3-2 5-G4-1 5-G4-2 6-G4-1 6-G4-2 5-G5-1 5-G5-2 6-G5-1 6-G5-2 5-G6-1 5-G6-2 6-G6-1 6-G6-2 5-G7-1 5-G7-2 6-G7-1 6-G7-2 5-G8-1 5-G8-2 6-G8-1 6-G8-2 5-G9-1 5-G9-2 6-G9-1 6-G9-2 5-G10-1 5-G10-2 6-G10-1 6-G10-2 5-G11-1 5-G11-2 6-G11-1 6-G11-2 5-G12-1 5-G12-2 6-G12-1 6-G12-2 
5-G1-3 5-G1-4 6-G1-3 6-G1-4 5-G2-3 5-G2-4 6-G2-3 6-G2-4 5-G3-3 5-G3-4 6-G3-3 6-G3-4 5-G4-3 5-G4-4 6-G4-3 6-G4-4 5-G5-3 5-G5-4 6-G5-3 6-G5-4 5-G6-3 5-G6-4 6-G6-3 6-G6-4 5-G7-3 5-G7-4 6-G7-3 6-G7-4 5-G8-3 5-G8-4 6-G8-3 6-G8-4 5-G9-3 5-G9-4 6-G9-3 6-G9-4 5-G10-3 5-G10-4 6-G10-3 6-G10-4 5-G11-3 5-G11-4 6-G11-3 6-G11-4 5-G12-3 5-G12-4 6-G12-3 6-G12-4 
7-G1-1 7-G1-2 8-G1-1 8-G1-2 7-G2-1 7-G2-2 8-G2-1 8-G2-2 7-G3-1 7-G3-2 8-G3-1 8-G3-2 7-G4-1 7-G4-2 8-G4-1 8-G4-2 7-G5-1 7-G5-2 8-G5-1 8-G5-2 7-G6-1 7-G6-2 8-G6-1 8-G6-2 7-G7-1 7-G7-2 8-G7-1 8-G7-2 7-G8-1 7-G8-2 8-G8-1 8-G8-2 7-G9-1 7-G9-2 8-G9-1 8-G9-2 7-G10-1 7-G10-2 8-G10-1 8-G10-2 7-G11-1 7-G11-2 8-G11-1 8-G11-2 7-G12-1 7-G12-2 8-G12-1 8-G12-2 
7-G1-3 7-G1-4 8-G1-3 8-G1-4 7-G2-3 7-G2-4 8-G2-3 8-G2-4 7-G3-3 7-G3-4 8-G3-3 8-G3-4 7-G4-3 7-G4-4 8-G4-3 8-G4-4 7-G5-3 7-G5-4 8-G5-3 8-G5-4 7-G6-3 7-G6-4 8-G6-3 8-G6-4 7-G7-3 7-G7-4 8-G7-3 8-G7-4 7-G8-3 7-G8-4 8-G8-3 8-G8-4 7-G9-3 7-G9-4 8-G9-3 8-G9-4 7-G10-3 7-G10-4 8-G10-3 8-G10-4 7-G11-3 7-G11-4 8-G11-3 8-G11-4 7-G12-3 7-G12-4 8-G12-3 8-G12-4 
5-H1-1 5-H1-2 6-H1-1 6-H1-2 5-H2-1 5-H2-2 6-H2-1 6-H2-2 5-H3-1 5-H3-2 6-H3-1 6-H3-2 5-H4-1 5-H4-2 6-H4-1 6-H4-2 5-H5-1 5-H5-2 6-H5-1 6-H5-2 5-H6-1 5-H6-2 6-H6-1 6-H6-2 5-H7-1 5-H7-2 6-H7-1 6-H7-2 5-H8-1 5-H8-2 6-H8-1 6-H8-2 5-H9-1 5-H9-2 6-H9-1 6-H9-2 5-H10-1 5-H10-2 6-H10-1 6-H10-2 5-H11-1 5-H11-2 6-H11-1 6-H11-2 5-H12-1 5-H12-2 6-H12-1 6-H12-2 
5-H1-3 5-H1-4 6-H1-3 6-H1-4 5-H2-3 5-H2-4 6-H2-3 6-H2-4 5-H3-3 5-H3-4 6-H3-3 6-H3-4 5-H4-3 5-H4-4 6-H4-3 6-H4-4 5-H5-3 5-H5-4 6-H5-3 6-H5-4 5-H6-3 5-H6-4 6-H6-3 6-H6-4 5-H7-3 5-H7-4 6-H7-3 6-H7-4 5-H8-3 5-H8-4 6-H8-3 6-H8-4 5-H9-3 5-H9-4 6-H9-3 6-H9-4 5-H10-3 5-H10-4 6-H10-3 6-H10-4 5-H11-3 5-H11-4 6-H11-3 6-H11-4 5-H12-3 5-H12-4 6-H12-3 6-H12-4 
7-H1-1 7-H1-2 8-H1-1 8-H1-2 7-H2-1 7-H2-2 8-H2-1 8-H2-2 7-H3-1 7-H3-2 8-H3-1 8-H3-2 7-H4-1 7-H4-2 8-H4-1 8-H4-2 7-H5-1 7-H5-2 8-H5-1 8-H5-2 7-H6-1 7-H6-2 8-H6-1 8-H6-2 7-H7-1 7-H7-2 8-H7-1 8-H7-2 7-H8-1 7-H8-2 8-H8-1 8-H8-2 7-H9-1 7-H9-2 8-H9-1 8-H9-2 7-H10-1 7-H10-2 8-H10-1 8-H10-2 7-H11-1 7-H11-2 8-H11-1 8-H11-2 7-H12-1 7-H12-2 8-H12-1 8-H12-2 
7-H1-3 7-H1-4 8-H1-3 8-H1-4 7-H2-3 7-H2-4 8-H2-3 8-H2-4 7-H3-3 7-H3-4 8-H3-3 8-H3-4 7-H4-3 7-H4-4 8-H4-3 8-H4-4 7-H5-3 7-H5-4 8-H5-3 8-H5-4 7-H6-3 7-H6-4 8-H6-3 8-H6-4 7-H7-3 7-H7-4 8-H7-3 8-H7-4 7-H8-3 7-H8-4 8-H8-3 8-H8-4 7-H9-3 7-H9-4 8-H9-3 8-H9-4 7-H10-3 7-H10-4 8-H10-3 8-H10-4 7-H11-3 7-H11-4 8-H11-3 8-H11-4 7-H12-3 7-H12-4 8-H12-3 8-H12-4 
